Date,Day,Run,A,B,C,D,
2019/7/4,1,1,3798.18,2720.66,1131.98,471.94,1
2019/7/4,1,1,3989.13,2901.34,1189.31,475.36,1
2019/7/4,1,2,3918.82,2797.79,1209.08,482.90,2
2019/7/4,1,2,4021.06,2833.48,1239.27,485.14,2
2019/7/8,2,1,4117.11,2763.12,1129.26,503.54,3
2019/7/8,2,1,3963.95,2688.55,1134.94,500.06,3
2019/7/8,2,2,4233.08,2959.66,1196.92,544.66,4
2019/7/8,2,2,4228.17,2878.42,1249.60,532.57,4
2019/7/9,3,1,4183.74,3012.16,1246.43,511.67,5
2019/7/9,3,1,4191.41,3049.24,1218.06,530.31,5
2019/7/9,3,2,3938.11,2923.81,1183.31,634.15,6
2019/7/9,3,2,3758.46,3031.59,1334.61,583.03,6
2019/7/10,4,1,3610.37,2815.32,1075.26,490.79,7
2019/7/10,4,1,3572.29,2812.76,1018.28,494.50,7
2019/7/10,4,2,4306.27,3104.95,1300.14,494.90,8
2019/7/10,4,2,4189.32,3086.03,1343.01,511.13,8
2019/7/11,5,1,4191.67,2863.16,1183.65,507.93,9
2019/7/11,5,1,4364.13,2841.95,1127.29,506.36,9
2019/7/11,5,2,3783.03,2694.54,1033.84,446.71,10
2019/7/11,5,2,3760.91,2765.46,1010.32,446.02,10
2019/7/15,6,1,4256.36,3066.51,1265.89,544.72,11
2019/7/15,6,1,4413.05,3172.65,1318.72,541.94,11
2019/7/15,6,2,4258.37,2999.41,1301.52,548.02,12
2019/7/15,6,2,4288.33,2979.79,1221.29,539.42,12
2019/7/16,7,1,4542.51,3331.64,1235.44,524.12,13
2019/7/16,7,1,4659.54,3355.20,1357.73,554.88,13
2019/7/16,7,2,4819.77,3526.97,1436.56,633.34,14
2019/7/16,7,2,4605.06,3292.13,1392.32,582.25,14
2019/7/17,8,1,5090.96,3707.72,1523.47,602.91,15
2019/7/17,8,1,5122.54,3605.13,1537.47,604.53,15
2019/7/17,8,2,4819.77,3526.97,1436.56,633.34,16
2019/7/17,8,2,4605.06,3292.13,1392.32,582.25,16
2019/7/18,9,1,4820.02,3362.44,1397.71,603.49,17
2019/7/18,9,1,4957.06,3506.68,1479.21,628.76,17
2019/7/18,9,2,5276.15,3930.76,1577.16,760.14,18
2019/7/18,9,2,4906.28,3666.26,1610.30,701.87,18
2019/7/23,10,1,4375.71,3100.04,1348.80,554.13,19
2019/7/23,10,1,4578.06,3305.44,1415.62,580.63,19
2019/7/23,10,2,4501.69,3233.11,1507.48,617.55,20
2019/7/23,10,2,4194.29,3235.69,1544.89,615.13,20
2019/7/24,11,1,4238.96,3269.47,1386.51,629.49,21
2019/7/24,11,1,4277.53,3420.77,1363.45,601.48,21
2019/7/24,11,2,4302.12,3119.69,1279.51,533.97,22
2019/7/24,11,2,4403.53,3465.17,1417.27,594.29,22
2019/7/25,12,1,4275.10,3431.44,1317.20,540.56,23
2019/7/25,12,1,4475.58,3143.50,1200.76,471.94,23
2019/7/25,12,2,4472.20,3003.67,1321.65,576.29,24
2019/7/25,12,2,4651.39,3218.53,1340.73,596.86,24
2019/7/26,13,1,3896.37,3037.81,1176.24,509.84,25
2019/7/26,13,1,4797.59,3321.77,1229.97,544.38,25
2019/7/26,13,2,4880.09,3662.77,1486.64,645.70,26
2019/7/26,13,2,4759.96,3560.86,1440.29,608.95,26
2019/7/30,14,1,4161.08,3009.81,1257.28,569.15,27
2019/7/30,14,1,4416.12,3134.37,1334.88,568.26,27
2019/7/30,14,2,4811.24,3550.44,1559.04,673.54,28
2019/7/30,14,2,4198.27,3479.22,1500.18,677.31,28
2019/7/31,15,1,4604.64,3171.04,1246.83,534.48,29
2019/7/31,15,1,4305.51,3048.86,1282.64,563.06,29
2019/7/31,15,2,4823.44,3148.54,1292.88,573.08,30
2019/7/31,15,2,4331.04,3113.27,1344.62,581.34,30
2019/8/2,16,1,3663.87,2797.72,1287.66,568.92,31
2019/8/2,16,1,3822.71,2769.50,1085.81,629.12,31
2019/8/2,16,2,3454.42,2810.12,1285.24,614.90,32
2019/8/2,16,2,3945.99,2729.29,1060.13,504.58,32
2019/8/5,17,1,4220.02,2870.23,1213.95,536.05,33
2019/8/5,17,1,4336.02,2865.06,1228.81,536.67,33
2019/8/5,17,2,4959.69,3679.99,1500.16,627.45,34
2019/8/5,17,2,4449.57,3215.86,1369.67,638.96,34
2019/8/7,18,1,4417.01,2987.00,1264.03,540.10,35
2019/8/7,18,1,3815.48,2806.05,1188.65,527.96,35
2019/8/7,18,2,4718.13,3267.14,1431.64,611.74,36
2019/8/7,18,2,4570.11,3194.31,1419.61,662.35,36
2019/8/8,19,1,4436.66,3144.79,1286.61,567.84,37
2019/8/8,19,1,4512.47,3135.31,1265.95,538.23,37
2019/8/8,19,2,4509.60,3286.36,1388.80,712.12,38
2019/8/8,19,2,4163.94,3097.91,1358.83,569.89,38
2019/8/20,20,1,4913.38,3081.64,1214.28,543.32,39
2019/8/20,20,1,4691.95,3570.76,1323.54,571.38,39
2019/8/20,20,2,5213.42,3933.55,1568.11,637.87,40
2019/8/20,20,2,5281.82,3834.36,1694.40,641.82,40
