site,se0,se1,power,alpha,prev_inOSCC,prev_inOSCC+OPMD,n_site,n_OSCC,n_OSCC+OPMD
A,0.7,0.75,0.8,0.05,34.44%,10.65%,652,1893,6121
A,0.7,0.8,0.8,0.05,34.44%,10.65%,159,462,1493
A,0.75,0.8,0.8,0.05,34.44%,10.65%,570,1655,5351
A,0.7,0.85,0.8,0.05,34.44%,10.65%,69,201,648
A,0.75,0.85,0.8,0.05,34.44%,10.65%,136,395,1277
A,0.8,0.85,0.8,0.05,34.44%,10.65%,473,1374,4441
A,0.7,0.9,0.8,0.05,34.44%,10.65%,37,108,348
A,0.75,0.9,0.8,0.05,34.44%,10.65%,57,166,536
A,0.8,0.9,0.8,0.05,34.44%,10.65%,109,317,1024
A,0.85,0.9,0.8,0.05,34.44%,10.65%,360,1046,3380
A,0.7,0.8279569892473119,0.8,0.05,34.44%,10.65%,96,279,902
A,0.75,0.8279569892473119,0.8,0.05,34.44%,10.65%,229,665,2150
A,0.8,0.8279569892473119,0.8,0.05,34.44%,10.65%,1557,4521,14616
B,0.7,0.75,0.8,0.05,13.33%,4.12%,652,4890,15811
B,0.7,0.8,0.8,0.05,13.33%,4.12%,159,1193,3856
B,0.75,0.8,0.8,0.05,13.33%,4.12%,570,4275,13823
B,0.7,0.85,0.8,0.05,13.33%,4.12%,69,518,1674
B,0.75,0.85,0.8,0.05,13.33%,4.12%,136,1020,3298
B,0.8,0.85,0.8,0.05,13.33%,4.12%,473,3548,11471
B,0.7,0.9,0.8,0.05,13.33%,4.12%,37,278,898
B,0.75,0.9,0.8,0.05,13.33%,4.12%,57,428,1383
B,0.8,0.9,0.8,0.05,13.33%,4.12%,109,818,2644
B,0.85,0.9,0.8,0.05,13.33%,4.12%,360,2700,8730
B,0.7,0.8333333333333334,0.8,0.05,13.33%,4.12%,88,660,2134
B,0.75,0.8333333333333334,0.8,0.05,13.33%,4.12%,200,1500,4850
B,0.8,0.8333333333333334,0.8,0.05,13.33%,4.12%,1088,8160,26384
C,0.7,0.75,0.8,0.05,27.04%,8.36%,652,2412,7798
C,0.7,0.8,0.8,0.05,27.04%,8.36%,159,589,1902
C,0.75,0.8,0.8,0.05,27.04%,8.36%,570,2109,6817
C,0.7,0.85,0.8,0.05,27.04%,8.36%,69,256,826
C,0.75,0.85,0.8,0.05,27.04%,8.36%,136,504,1627
C,0.8,0.85,0.8,0.05,27.04%,8.36%,473,1750,5657
C,0.7,0.9,0.8,0.05,27.04%,8.36%,37,137,443
C,0.75,0.9,0.8,0.05,27.04%,8.36%,57,211,682
C,0.8,0.9,0.8,0.05,27.04%,8.36%,109,404,1304
C,0.85,0.9,0.8,0.05,27.04%,8.36%,360,1332,4306
C,0.7,0.7671232876712328,0.8,0.05,27.04%,8.36%,359,1328,4294
C,0.75,0.7671232876712328,0.8,0.05,27.04%,8.36%,4972,18390,59460
ABC,0.7,0.75,0.8,0.05,74.81%,23.14%,652,872,2818
ABC,0.7,0.8,0.8,0.05,74.81%,23.14%,159,213,688
ABC,0.75,0.8,0.8,0.05,74.81%,23.14%,570,762,2464
ABC,0.7,0.85,0.8,0.05,74.81%,23.14%,69,93,299
ABC,0.75,0.85,0.8,0.05,74.81%,23.14%,136,182,588
ABC,0.8,0.85,0.8,0.05,74.81%,23.14%,473,633,2045
ABC,0.7,0.9,0.8,0.05,74.81%,23.14%,37,50,160
ABC,0.75,0.9,0.8,0.05,74.81%,23.14%,57,77,247
ABC,0.8,0.9,0.8,0.05,74.81%,23.14%,109,146,472
ABC,0.85,0.9,0.8,0.05,74.81%,23.14%,360,482,1556
ABC,0.7,0.806930693069307,0.8,0.05,74.81%,23.14%,139,186,601
ABC,0.75,0.806930693069307,0.8,0.05,74.81%,23.14%,438,586,1893
ABC,0.8,0.806930693069307,0.8,0.05,74.81%,23.14%,25954,34691,112168
